Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412416508497800,right,-1.8626888990402224,-9.421183586120604,2.3295583724975586,seq,5.0
1721412416530491000,right,-1.8842366933822632,-9.440337181091309,2.300827741622925,seq,6.0
1721412416553596600,right,-1.8579005002975464,-9.275136947631836,2.341529369354248,seq,7.0
1721412416579218100,right,-1.8962076902389529,-9.387664794921877,2.3774423599243164,seq,8.0
1721412416603228900,right,-1.8842366933822632,-9.437943458557127,2.3319525718688965,seq,9.0
1721412416681106600,right,-1.8818424940109253,-9.346963882446287,2.3367409706115723,seq,10.0
1721412416700111100,right,-1.8363527059555051,-9.41639518737793,2.365471363067627,seq,11.0
1721412416735137700,right,-1.886630892753601,-9.50498104095459,2.291250944137573,seq,12.0
1721412416771379500,right,-1.9129672050476076,-9.428366661071776,2.437297344207764,seq,13.0
1721412416780398400,right,-1.8411411046981807,-9.442731857299805,2.360682964324951,seq,14.0
1721412416787691800,right,-1.886630892753601,-9.433155059814451,2.3965959548950195,seq,15.0
1721412416836667000,right,-1.9057846069335935,-9.402029991149902,2.343923568725586,seq,16.0
1721412416853719900,right,-1.8626888990402224,-9.50737476348877,2.2816741466522217,seq,17.0
1721412416907738400,right,-1.8411411046981807,-9.397241592407228,2.432508945465088,seq,18.0
1721412416935743100,right,-1.946485996246338,-9.397241592407228,2.3774423599243164,seq,19.0
1721412416962106800,right,-1.9345149993896484,-9.402029991149902,2.315192937850952,seq,20.0
1721412416971426700,right,-1.9273324012756348,-9.378087997436523,2.2673089504241943,seq,21.0
1721412416990603100,right,-1.9321208000183103,-9.337387084960938,2.365471363067627,seq,22.0
1721412416998621100,right,-1.900996208190918,-9.454702377319336,2.3295583724975586,seq,23.0
1721412417014635200,right,-1.8602946996688845,-9.569623947143556,2.353500366210937,seq,24.0
1721412417020620700,right,-1.7836803197860718,-9.48343276977539,2.3487119674682617,seq,25.0
1721412417052763600,right,-1.8387469053268437,-9.404424667358398,2.27209734916687,seq,26.0
1721412417071373800,right,-1.939303398132324,-9.411606788635254,2.2218191623687744,seq,27.0
1721412417086373500,right,-1.8722656965255735,-9.512163162231444,2.229001760482788,seq,28.0
1721412417095376600,right,-1.6711528301239014,-9.495404243469238,2.3798365592956543,seq,29.0
1721412417105266700,right,-1.81959331035614,-9.600749015808104,2.353500366210937,seq,30.0
1721412417130283900,right,-1.946485996246338,-9.5624418258667,2.3798365592956543,seq,31.0
1721412417139304500,right,-1.6735470294952393,-9.224859237670898,2.353500366210937,seq,32.0
1721412417153320200,right,-1.335964560508728,-9.452308654785156,2.449268341064453,seq,33.0
1721412417175880700,right,-1.5705963373184204,-9.423578262329102,2.561795711517334,seq,34.0
1721412417189887300,right,-1.886630892753601,-9.35654067993164,2.585737943649292,seq,35.0
1721412417195905900,right,-1.843535304069519,-9.248801231384276,2.655169725418091,seq,36.0
1721412417203899500,right,-1.7525556087493896,-9.131484985351562,2.4899697303771973,seq,37.0
1721412417217901100,right,-1.558625340461731,-9.208099365234377,2.597708940505981,seq,38.0
1721412417229898400,right,-1.9273324012756348,-9.385271072387695,2.537853717803955,seq,39.0
1721412417238882400,right,-2.4803929328918457,-9.490615844726562,2.6408045291900635,seq,40.0
1721412417265904900,right,-2.276885747909546,-9.452308654785156,2.542642116546631,seq,41.0
1721412417299567500,right,-2.006340980529785,-9.23443603515625,2.5785553455352783,seq,42.0
1721412417435145300,right,-2.207453966140747,-9.129091262817385,2.4396915435791016,seq,43.0
1721412417464220000,right,-2.4636335372924805,-8.956708908081055,2.516305923461914,seq,44.0
1721412417470791500,right,-2.626439332962036,-9.150638580322266,2.3511061668396,seq,45.0
1721412417487782800,right,-2.82515811920166,-9.157821655273438,2.154781579971313,seq,46.0
1721412417495079000,right,-2.873042106628418,-9.44752025604248,2.118868589401245,seq,47.0
1721412417501075500,right,-2.9496564865112305,-9.198522567749023,1.8962076902389529,seq,48.0
1721412417515223200,right,-3.157952070236206,-9.387664794921877,2.051830768585205,seq,49.0
1721412417537427100,right,-3.1435868740081787,-9.251194953918455,2.166752576828003,seq,50.0
1721412417563430000,right,-3.071760892868042,-9.306262016296388,2.3032219409942627,seq,51.0
1721412417580210600,right,-2.8107926845550537,-9.38048267364502,2.1763293743133545,seq,52.0
1721412417595220000,right,-2.03507137298584,-9.679757118225098,3.404554843902588,seq,53.0
1721412417601343700,right,-1.8938134908676147,-9.6989107131958,3.1938650608062744,seq,54.0
1721412417609320100,right,-2.363077163696289,-8.956708908081055,2.9712042808532715,seq,55.0
1721412417655696100,right,-2.4636335372924805,-9.117119789123535,3.397372245788574,seq,56.0
1721412417672540100,right,-2.4444799423217773,-10.632649421691896,3.0382418632507324,seq,57.0
