Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412422337755100,left,1.8315643072128296,1.7118542194366455,9.588777542114258,seq,5.0
1721412422353947600,left,1.8363527059555051,1.7501614093780518,9.466673851013184,seq,6.0
1721412422359974500,left,1.7573440074920654,1.802833914756775,9.402029991149902,seq,7.0
1721412422374494600,left,1.7310078144073486,1.6759412288665771,9.51455783843994,seq,8.0
1721412422409512300,left,1.7525556087493896,1.6855180263519287,9.428366661071776,seq,9.0
1721412422463027900,left,1.6903064250946045,1.8052281141281128,9.464279174804688,seq,10.0
1721412422473568600,left,1.807622313499451,1.680729627609253,9.404424667358398,seq,11.0
1721412422549686500,left,1.7764976024627686,1.6543933153152466,9.428366661071776,seq,12.0
1721412422556641600,left,1.8363527059555051,1.699883222579956,9.370905876159668,seq,13.0
1721412422574519400,left,1.7956513166427612,1.7190368175506592,9.351752281188965,seq,14.0
1721412422591527200,left,1.8579005002975464,1.6974890232086182,9.354146003723145,seq,15.0
1721412422603545100,left,1.7717092037200928,1.8052281141281128,9.318233489990234,seq,16.0
1721412422615533900,left,1.8387469053268437,1.680729627609253,9.315838813781738,seq,17.0
1721412422629485900,left,1.845929503440857,1.601720929145813,9.387664794921877,seq,18.0
1721412422652505600,left,1.8818424940109253,1.6543933153152466,9.394847869873049,seq,19.0
1721412422664698900,left,1.81959331035614,1.7118542194366455,9.32541561126709,seq,20.0
1721412422681772700,left,1.7334020137786863,1.7046716213226318,9.363722801208496,seq,21.0
1721412422689767300,left,1.7693150043487549,1.678335428237915,9.519346237182615,seq,22.0
1721412422696965800,left,1.800439715385437,1.6328455209732056,9.299078941345217,seq,23.0
1721412422710095600,left,1.8315643072128296,1.6352397203445437,9.368511199951172,seq,24.0
1721412422739508200,left,1.8339585065841677,1.6496049165725708,9.44991397857666,seq,25.0
1721412422759206300,left,1.7310078144073486,1.6903064250946045,9.390059471130373,seq,26.0
1721412422767073400,left,1.8387469053268437,1.6903064250946045,9.437943458557127,seq,27.0
1721412422774661900,left,1.7932571172714231,1.7334020137786863,9.44991397857666,seq,28.0
1721412422791025000,left,1.7190368175506592,1.781286120414734,9.48343276977539,seq,29.0
1721412422803015800,left,1.759738206863403,1.7717092037200928,9.433155059814451,seq,30.0
1721412422825113100,left,1.766920804977417,1.8100165128707888,9.445125579833984,seq,31.0
1721412422835479600,left,1.7046716213226318,1.7166426181793213,9.459490776062012,seq,32.0
1721412422848517500,left,1.745373010635376,1.7764976024627686,9.464279174804688,seq,33.0
1721412422855502700,left,1.7094600200653076,1.7501614093780518,9.390059471130373,seq,34.0
1721412422864496400,left,1.6711528301239014,1.702277421951294,9.500192642211914,seq,35.0
1721412422874594000,left,1.7501614093780518,1.6065093278884888,9.354146003723145,seq,36.0
1721412422888613000,left,1.7286136150360107,1.6903064250946045,9.394847869873049,seq,37.0
1721412422906081400,left,1.647210717201233,1.6735470294952393,9.44752025604248,seq,38.0
1721412422918479900,left,1.6903064250946045,1.6711528301239014,9.488221168518066,seq,39.0
1721412422934474500,left,1.81959331035614,1.6927006244659424,9.306262016296388,seq,40.0
1721412422951492300,left,1.845929503440857,1.6496049165725708,9.368511199951172,seq,41.0
1721412422968499600,left,1.889025092124939,1.6304513216018677,9.409213066101074,seq,42.0
