Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 5 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressed,Pedal 6 Pressed,Pedal 7 Pressed,PDS Time
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107250185400
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107252185100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107252185100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107252185100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107253187100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107253187100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107254184700
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107254184700
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107255190500
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107259554600
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107260561100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721332107260561100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107260561100
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107261560900
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107261560900
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107261560900
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107262560900
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107262560900
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107263562000
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107263562000
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107263562000
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107264562300
-1,-1,-1,-1,-1,-1,19.0,0,0,0,0,0,0,0,1721332107264562300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721332107372875300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721332107480749400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721332107592279400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1721332107702445500
